maxK,von_koch-random-55-3(339),von_koch-random-55-4(339),random-x-monotone-55-1337(330),von_koch-random-55-5(339),von_koch-random-55-2(339)
5,3751.835529,12259.559201,13122.608373,132474.438797,1537.230558
10,10796.170666,33917.098676,33682.569583,389128.852782,4058.593234
15,18399.507351,58524.747799,57588.173851,688883.426546,6925.640157
20,28478.782319,86361.547496,90795.670386,1074531.545984,10376.235826
25,38600.785928,116228.054868,126254.344396,1481272.163044,14036.712665
30,50233.817352,148899.864572,162775.181134,1911406.980128,17830.375037
