maxK,von_koch-random-55-3(410),von_koch-random-55-4(410),random-x-monotone-55-1337(395),von_koch-random-55-5(410),von_koch-random-55-2(410)
5,3432.424686,10308.826392,11449.345056,125407.971056,1077.840525
10,10712.80952,34979.378596,28743.213478,346972.624893,3174.029729
15,18139.369952,63212.517172,60395.963091,678324.431457,5917.668133
20,31993.227521,98740.226594,101335.895365,1012570.704826,9595.223004
25,45120.310273,137284.999219,135444.101205,1400947.452362,13883.983901
30,58413.635925,174444.738286,188138.334856,1918265.160451,19121.289395
