maxK,von_koch-random-55-3(282),von_koch-random-55-4(282),random-x-monotone-55-1337(266),von_koch-random-55-5(282),von_koch-random-55-2(282)
5,3663.920333,11357.003323,12033.381776,133279.784817,1362.784089
10,10163.240883,29081.823647,30885.94304,370195.281272,3501.047346
15,17860.262333,48446.771384,53354.583066,665666.140552,6088.440675
20,25898.517356,71709.060486,79620.103069,982825.821505,8931.836132
25,33862.838469,94021.399681,106477.80123,1283463.341408,11930.065802
30,42475.199238,119269.502174,135517.961394,1589248.362573,14975.896756
