maxK,von_koch-random-55-3(319),von_koch-random-55-4(319),random-x-monotone-55-1337(304),von_koch-random-55-5(319),von_koch-random-55-2(319)
5,3677.266343,11597.704456,11279.367511,122955.420751,1280.567727
10,9520.442536,29210.066589,31300.263002,342464.054021,3198.144697
15,18075.809792,49899.092535,54912.434153,621346.154607,5741.238742
20,28256.177932,75428.404683,82724.320439,922509.620837,8898.263745
25,38667.595117,100399.851705,113175.507889,1296364.425392,12595.530905
30,49839.298741,126739.260278,145272.192454,1637768.428074,16540.024956
