maxK,random-2-opt-60-1337(354),von_koch-random-55-3(308),von_koch-random-55-4(308),von_koch-random-60-2(354),von_koch-random-60-5(351)
5,6.815084696,15.894126758,5.688311801,19.876496188,73.588546074
10,5.807103558,9.446155691,8.918064619,14.532192013,47.083104005
15,9.188563283,9.062616525,6.40478078,10.689649791,144.102840082
20,10.902217002,6.830718275,7.912336215,15.182574618,152.664454032
25,13.617688616,9.184502095,6.498484324,15.765781632,900.358382837
30,24.435244203,6.910770251,6.350965404,34.835700218,396.096977561
