vertices,EAIterated,EARandom
2645,1.463658077871182,1.463658077871182
3026,1.4345371319460538,1.441215987036953
4170,1.950205001790377,1.950205001790377
2948,1.2185685811310576,1.2611819543522602
3342,1.070620761459557,1.105366083804484
4480,1.1396451524486972,1.1703624502435204
2950,1.2097844085809517,1.2168256713936199
3379,1.2931895186006679,1.2988776138833251
4489,1.4065464024805132,1.4065464024805132
2908,1.4992999637724667,1.4992999637724667
3453,1.366937698249077,1.371358099202783
4831,1.2202941317114706,1.2202941317114706
3209,1.0918363211126512,1.1125377748375072
3729,1.0946085603177527,1.0973944115668008
5093,1.0858568198575975,1.0858568198575975
1828,1.4389024735508407,1.438910241853704
2126,1.6616429260055332,1.6616429260055332
2983,1.3504776057218846,1.3504776057218846
2405,1.231122530761367,1.231122530761367
2820,1.1103402781316254,1.1130486536300939
3664,1.2635710723210754,1.2635710723210754
1946,1.5329090752929642,1.533646465295522
2341,1.2284481848580913,1.2284481848580913
3015,1.4433134203277567,1.4555946811447245
2325,1.5592843954448763,1.5877580919981955
2711,1.5789889659289693,1.6046629263043461
3494,1.4000945244740686,1.410574273063311
2010,1.1574508809340527,1.1574508809340527
2315,1.2766542090124273,1.2766542090124273
3127,1.3420395316031202,1.3427444796643437
1966,1.2280157906037883,1.2309025621196825
2365,1.1825542325737608,1.1886237181760035
2970,1.1726337102131645,1.1726337102131645
2026,1.1171721961697136,1.1171721961697136
2439,1.2866479381298856,1.3019556583660166
3126,1.3499126115852687,1.3499126115852687
2014,1.231793596101765,1.2388207126614779
2381,1.449920010112139,1.4918689413399417
3153,1.3250277003728723,1.344415557106238
2025,1.2516670885404015,1.256422747311042
2296,1.044488841823401,1.0867925545311619
3165,1.1210053349182503,1.1274507842554184
2123,1.2929009101893705,1.2936578329945987
2453,1.4048325933352277,1.4061052652039134
3324,1.3580245703168254,1.3955152795205579
3681,1.571412125667964,1.5810274101560253
4356,1.3900240967078246,1.4087490972715218
5978,1.1169403935388729,1.1260307533437246
2645,1.463658077871182,1.463658077871182
3026,1.4291128722459774,1.441215987036953
4170,1.950205001790377,1.950205001790377
2948,1.2317844125143378,1.2611819543522602
3342,1.070620761459557,1.105366083804484
4480,1.1396451524486972,1.1703624502435204
4153,1.6039473500228196,1.6039473500228196
4787,1.6191201110300717,1.6191201110300717
6665,1.2167620593766213,1.2422842171843473
3462,1.6337991452149954,1.6353122777863476
4132,1.1587267342539396,1.1587267342539396
5850,1.0839852632097022,1.0945737527671704
2950,1.2091138082713617,1.2168256713936199
3379,1.2931895186006679,1.2988776138833251
4489,1.4065464024805132,1.4065464024805132
3764,1.2339546186969055,1.2732960805876121
4418,1.2882309459856238,1.3022967423222525
5621,1.3406348085835391,1.34274842530444
3129,1.3529712023750275,1.3603542127230577
3685,1.4493276156535302,1.4493276156535302
5190,1.5425742136765723,1.5612738234525065
2908,1.4848143984457558,1.4992999637724667
3453,1.366937698249077,1.371358099202783
4831,1.2202941317114706,1.2202941317114706
3209,1.096552266917294,1.1125377748375072
3729,1.0946085603177527,1.0973944115668008
5093,1.0858568198575975,1.0858568198575975
