vertices,ProbShared,ProbShared2
3107,900.065496405,238482.512842,238482.512842,900.065496405
3401,900.073537557,245222.533181,245222.533181,900.073537557
4513,900.08158526,275490.05717,275490.05717,900.08158526
2876,900.083280147,283329.038978,283329.038978,900.083280147
3297,900.088285973,294549.45576,294549.45576,900.088285973
4355,900.100521528,322289.756586,322289.756586,900.100521528
2698,900.062558605,8535.696864,8535.696864,900.062558605
2981,900.068742073,8697.493931,8697.493931,900.068742073
3957,900.091012407,9401.623686,9401.623686,900.091012407
2796,900.059155572,23321.915757,23321.915757,900.059155572
3173,900.827282872,24070.108877,24070.108877,900.827282872
4252,900.090136437,26485.646178,26485.646178,900.090136437
2406,849.80421214,60245.541099,60245.541099,849.80421214
2686,900.074109044,65283.988145,65283.988145,900.074109044
3627,900.08715218,72350.90078,72350.90078,900.08715218
