maxK,random-2-opt-60-1337(392),von_koch-random-55-3(348),von_koch-random-55-4(348),von_koch-random-60-2(392),von_koch-random-60-5(392)
5,900.194864773,900.184598362,900.128059466,900.207668406,900.212079318
10,900.185823398,900.12525741,900.290994404,900.194411691,900.191776985
15,900.194384308,900.124478282,900.138950455,900.890809976,900.223661506
20,900.583615335,900.129691357,900.133473043,900.201374199,900.202397144
25,900.184036117,900.130805171,900.140032287,900.184779547,900.210305795
30,900.195309748,867.067860722,683.229930938,900.199983809,900.224138366
