maxK,random-2-opt-60-1337(389),von_koch-random-55-3(339),von_koch-random-55-4(339),von_koch-random-60-2(389),von_koch-random-60-5(389)
5,900.221947784,900.116201291,785.722216073,900.206664007,900.166253788
10,900.207220325,900.10841664,477.660286215,900.210380044,900.178502282
15,900.466664288,900.114696662,384.793770808,900.210948164,900.195318127
20,900.237444449,803.84579043,208.762531156,900.215714181,900.174011196
25,900.326078615,450.961735926,120.944374814,900.220818773,844.652362886
30,900.213770867,153.473304039,56.054865516,900.435505666,581.47408536
