maxK,random-2-opt-60-1337(325),von_koch-random-55-3(282),von_koch-random-55-4(282),von_koch-random-60-2(325),von_koch-random-60-5(325)
5,900.144023376,471.04238174,288.331517081,900.148818141,900.141992733
10,900.155078407,335.204406481,202.849814094,900.15771175,900.133178177
15,900.137075145,253.184430685,229.197483031,900.147677825,901.167435083
20,900.291604495,158.086287668,127.963334082,900.148833388,900.642118798
25,666.346243304,163.160862535,110.589846958,900.151657073,454.351066646
30,334.488479871,110.620108167,70.102801084,900.140290928,277.691269409
