maxK,von_koch-random-55-3(339),von_koch-random-55-4(339),random-x-monotone-55-1337(330),von_koch-random-55-5(339),von_koch-random-55-2(339)
5,900127105767,862545278404,900175128469,900142313602,835957284670
10,900123617590,515927917043,900151145450,900166295600,900143923376
15,900125681623,453162460126,900139836424,900272571036,900312013933
20,889802315598,236127887933,900155262871,900139468628,900137134324
25,495439258649,137516596310,900148469670,743974926183,607005701868
30,168284122030,57534899720,750552715311,414228674436,329991507964
