maxK,random-2-opt-60-1337(354),von_koch-random-55-3(308),von_koch-random-55-4(308),von_koch-random-60-2(354),von_koch-random-60-5(351)
5,6815084696,15894126758,5688311801,19876496188,73588546074
10,5807103558,9446155691,8918064619,14532192013,47083104005
15,9188563283,9062616525,6404780780,10689649791,144102840082
20,10902217002,6830718275,7912336215,15182574618,152664454032
25,13617688616,9184502095,6498484324,15765781632,900358382837
30,24435244203,6910770251,6350965404,34835700218,396096977561
