Instance,Vertex,Edges,Segments,V/E
von_koch-random-55-3,7574,15398,280,0.4918820626055332
von_koch-random-55-4,7850,15934,280,0.49265721099535587
random-x-monotone-55-1337,7491,15136,264,0.4949127906976744
von_koch-random-55-5,8806,17810,280,0.4944413250982594
von_koch-random-55-2,8243,16749,280,0.4921487850020897
