Instance,Vertex,Edges,Segments,V/E
von_koch-random-55-3,7586,15421,282,0.4919265936061215
von_koch-random-55-4,7998,16220,282,0.493094944512947
random-x-monotone-55-1337,8015,16186,266,0.49518102063511676
von_koch-random-55-5,7990,16200,282,0.49320987654320986
von_koch-random-55-2,8529,17301,282,0.492977284550026
