maxK,von_koch-random-55-3(282),von_koch-random-55-4(282),random-x-monotone-55-1337(266),von_koch-random-55-5(282),von_koch-random-55-2(282)
5,537989481009,314863656582,321608560457,900083983620,492568174780
10,393115687164,221973328396,490442085909,483373761209,711936080339
15,278062613771,230107430829,532425115641,418211751401,900097127353
20,165801665993,144343770740,360733397691,153203381946,890094242037
25,178562943342,120961183548,244786492274,177953125612,608005346072
30,118138757802,77589356770,140490316382,193527718154,398889778103
