maxK,random-2-opt-60-1337(264),von_koch-random-55-3(230),von_koch-random-55-4(231),von_koch-random-60-2(264),von_koch-random-60-5(265)
5,8053420230,5068247000,3940865990,4524356888,7096374419
10,10379826186,4301811141,6862341920,4664149618,9622744764
15,6269644574,3943845690,4683127603,9845855878,8104508840
20,7113654195,8605401007,3608192031,4510226754,9052602473
25,8392877541,5337701497,4059175611,6498063000,9946410884
30,7591622403,5298596640,3970823957,5096488174,9715012218
