maxK,random-2-opt-60-1337(177),von_koch-random-55-3(153),von_koch-random-55-4(154),von_koch-random-60-2(177),von_koch-random-60-5(177)
5,898947263,1457528245,898125864,1183490872,1298737984
10,688723954,7075968163,814549980,1964166718,2309908472
15,4521780100,2726866839,994765435,2502404589,2769022550
20,1885378362,2667824223,1459396392,2802721044,4294984557
25,2263217400,1455261074,1732878597,2331165673,2550879346
30,2597888262,2172873194,1464662728,1920480340,4297142187
