vertices,Greedy,Iterated,SA,Evo
2645,0.6601958381357449,0.9543514358586362,0.9614756911628178,0.9663009714643185
3026,0.6798118968403527,0.9752154087561661,0.9782174519179693,0.9797557739042322
4170,0.5112449854855593,0.9970325278341864,0.9900618684285312,0.9744620330374916
2948,0.7929070000954759,0.9338007175868807,0.9897646533525511,0.9482941924810054
3342,0.8885164796910504,0.9479118667936802,0.9785846636047035,0.9512641900561974
4480,0.8093835732685557,0.9313522737594775,0.9299560260034168,0.9208907908802478
2950,0.8217309890180731,0.9723252804037695,0.9899510154869372,0.9299102446483786
3379,0.7400726397101803,0.9366992890035857,0.9551122265305846,0.9570541806763335
4489,0.6662095855817267,0.9059405453711071,0.9289160075177645,0.9370546958980114
2908,0.65174542261905,0.9677209876258797,0.9731666423563909,0.8901165006571868
3453,0.729204137548999,0.9967766253349322,0.9955058175338035,0.9967766253349322
4831,0.8048169745293307,0.968767730575599,0.9712581530197145,0.9821134311199224
3209,0.8779904063877817,0.9586218152826372,0.9612995887400048,0.943211123795829
3729,0.9008908206267592,0.9861228041697355,0.9804763410967894,0.9513319286954545
5093,0.9208660715077238,0.999928703922136,0.9927238670777081,0.9946531038004144
3681,0.5916976580357093,0.9050654703014872,0.9329354676561125,0.8868641921682404
4356,0.6714201521460627,0.9458625332256736,0.9446585611818146,0.933290190498261
5978,0.8381872722412412,0.9160747279132178,0.9360628291292713,0.9302022838768826
4153,0.5933165333472679,0.9516484813870763,0.9516484813870763,0.9350269591696322
4787,0.5772541452437258,0.9346437957395903,0.9252851500527048,0.907809347281366
6665,0.766254081165324,0.9082024655271836,0.9345782483119882,0.9207947463575015
3462,0.5757011142405151,0.9019887557777232,0.9414511004527949,0.9131225254780421
4132,0.8056083015329947,0.9079781591689228,0.9330602599526311,0.861058672033387
5850,0.8464609633183204,0.8873292591960159,0.9069198763316529,0.8966336087444126
5551,0.7870712070857885,0.8726923145319101,0.8850518762673021,0.9029068771714153
6595,0.6319260393927315,0.899663071807679,0.9139432497405943,0.8647660619330758
9125,0.807175479522186,0.9134724805189826,0.8819292201181547,0.9004897568417515
5727,0.9057843964844744,0.9533444671995548,0.9394590967983264,0.9533444671995548
6805,0.826578590217337,0.946891686956057,0.9408521702577116,0.9325931394758333
9441,0.8248413867259176,0.8784748183631903,0.8904089799958836,0.8740498428265608
1828,0.6949159748755053,0.972220093836126,0.9999217134761158,0.9872574143851007
2126,0.6017588985162214,0.9703915522819426,0.9947578102000709,0.9999084168803609
2983,0.7154532683492668,0.9392110414123157,0.9662036168462149,0.9600798852684185
2405,0.8121862778826373,0.9999008258765273,0.9999008258765273,0.9076690569882158
2820,0.8694967970923556,0.9288626213088789,0.9677922393393255,0.9382022709071338
3664,0.7631048719539223,0.9199625253558045,0.9591909076659048,0.9574345484290527
1946,0.651987111161071,0.9994369596728483,0.999917728450415,0.8908433191980022
2341,0.7767914173458237,0.9526850102724577,0.9542480066518211,0.8981427044095203
3015,0.6625129099732741,0.9490494913386017,0.9610165319339098,0.94749607007674
2325,0.6298162156772704,0.9892157101883096,0.9999957929132668,0.8831228279308233
2711,0.6231762827736677,0.9583807261797094,0.9980792940983512,0.9202886803787235
3494,0.6923752063261251,0.9683826369804444,0.9736329169481693,0.9111000884477375
2010,0.8434960903276865,0.9740533229534812,0.97630529281421,0.9740533229534812
2315,0.783241542951094,0.9874462005911729,0.9999286124819021,0.9874462005911729
3127,0.7083722141177697,0.9492636937598933,0.9498665324993337,0.9506635144352769
