vertices,Greedy,Iterated,SA,Evo
4170,0.5112449854855593,0.9970325278341864,0.9900618684285312,0.9744620330374916
2948,0.7929070000954759,0.9338007175868807,0.9897646533525511,0.9482941924810054
2950,0.8217309890180731,0.9723252804037695,0.9899510154869372,0.9299102446483786
3379,0.7400726397101803,0.9366992890035857,0.9551122265305846,0.9570541806763335
2908,0.65174542261905,0.9677209876258797,0.9731666423563909,0.8901165006571868
3453,0.729204137548999,0.9967766253349322,0.9955058175338035,0.9967766253349322
4831,0.8048169745293307,0.968767730575599,0.9712581530197145,0.9821134311199224
3729,0.9008908206267592,0.9861228041697355,0.9804763410967894,0.9513319286954545
5093,0.9208660715077238,0.999928703922136,0.9927238670777081,0.9946531038004144
1828,0.6949159748755053,0.972220093836126,0.9999217134761158,0.9872574143851007
2126,0.6017588985162214,0.9703915522819426,0.9947578102000709,0.9999084168803609
2983,0.7154532683492668,0.9392110414123157,0.9662036168462149,0.9600798852684185
2405,0.8121862778826373,0.9999008258765273,0.9999008258765273,0.9076690569882158
2820,0.8694967970923556,0.9288626213088789,0.9677922393393255,0.9382022709071338
1946,0.651987111161071,0.9994369596728483,0.999917728450415,0.8908433191980022
3015,0.6625129099732741,0.9490494913386017,0.9610165319339098,0.94749607007674
2325,0.6298162156772704,0.9892157101883096,0.9999957929132668,0.8831228279308233
2711,0.6231762827736677,0.9583807261797094,0.9980792940983512,0.9202886803787235
3494,0.6923752063261251,0.9683826369804444,0.9736329169481693,0.9111000884477375
2010,0.8434960903276865,0.9740533229534812,0.97630529281421,0.9740533229534812
2315,0.783241542951094,0.9874462005911729,0.9999286124819021,0.9874462005911729
