maxK,random-2-opt-50-1337(183),ic_die20-darkness-50-int-42(183),ic_die22-edges-50-int-42(183),skyline_new_york-edges-50-float-42(183),ic_die21-color-50-int-42(183)
30,4.302361978,3.32994612,2.56627048,4.516607695,2.995701136
35,6.738331241,16.419786378,2.405945004,6.353001825,17.376797288
40,7.063103105,5.218556855,2.745161666,6.611243973,9.646286994
45,4.329923852,6.119260146,3.952986879,5.095059157,32.250249116
50,5.435692065,21.989228028,4.371921319,4.970704583,34.806983475
55,4.456141989,44.629686562,3.283462061,3.916610569,41.640414849
