maxK,random-2-opt-50-1337(121),ic_die20-darkness-50-int-42(122),ic_die22-edges-50-int-42(122),skyline_new_york-edges-50-float-42(122),ic_die21-color-50-int-42(122)
30,1.740789758,1.383757725,2.471091763,0.75920226,1.970662205
35,2.454988458,1.385620471,2.86787788,0.697579766,1.32149093
40,1.454431658,2.689036242,3.690546187,1.807065716,1.164533146
45,1.422841182,3.362823956,2.366315338,1.25927488,0.877232536
50,1.095847068,3.109346569,2.106153188,0.64693784,1.26218526
55,0.891461829,4.528393575,1.468788466,1.018989271,1.518474294
