maxK,von_koch-random-55-3(410),von_koch-random-55-4(410),random-x-monotone-55-1337(395),von_koch-random-55-5(410),von_koch-random-55-2(410)
5,900.19260619,900.183872494,900.234046079,900.208735592,900.224917851
10,900.18558508,900.202462384,900.31609722,900.389911917,900.245762887
15,900.396093839,900.191665833,900.214143738,900.192522536,900.227825714
20,900.21027796,900.187939203,900.21630822,900.212188033,900.212558028
25,900.197114542,501.075906392,900.212440198,900.198932811,900.813642885
30,900.18781899,248.385648269,900.227199656,900.203682963,900.911920198
