maxK,von_koch-random-55-3(282),von_koch-random-55-4(282),random-x-monotone-55-1337(266),von_koch-random-55-5(282),von_koch-random-55-2(282)
5,537.989481009,314.863656582,321.608560457,900.08398362,492.56817478
10,393.115687164,221.973328396,490.442085909,483.373761209,711.936080339
15,278.062613771,230.107430829,532.425115641,418.211751401,900.097127353
20,165.801665993,144.34377074,360.733397691,153.203381946,890.094242037
25,178.562943342,120.961183548,244.786492274,177.953125612,608.005346072
30,118.138757802,77.58935677,140.490316382,193.527718154,398.889778103
