maxK,von_koch-random-55-3(319),von_koch-random-55-4(319),random-x-monotone-55-1337(304),von_koch-random-55-5(319),von_koch-random-55-2(319)
5,900.105279912,848.084600001,900.156447704,900.115428417,900.138747364
10,900.109428843,900.110012591,900.095894196,900.110080927,900.124864287
15,900.11070279,900.107605978,900.109767193,900.12107559,900.128176407
20,897.778297438,772.762957854,900.100844762,900.112016477,900.1336456
25,376.025926545,491.872193191,582.80237298,900.112718418,900.697328314
30,161.753511928,300.019870113,343.187330669,564.25506965,900.129898104
