maxK,von_koch-random-55-3(339),von_koch-random-55-4(339),random-x-monotone-55-1337(330),von_koch-random-55-5(339),von_koch-random-55-2(339)
5,900.127105767,862.545278404,900.175128469,900.142313602,835.95728467
10,900.12361759,515.927917043,900.15114545,900.1662956,900.143923376
15,900.125681623,453.162460126,900.139836424,900.272571036,900.312013933
20,889.802315598,236.127887933,900.155262871,900.139468628,900.137134324
25,495.439258649,137.51659631,900.14846967,743.974926183,607.005701868
30,168.28412203,57.53489972,750.552715311,414.228674436,329.991507964
