maxK,random-2-opt-60-1337(264),von_koch-random-55-3(230),von_koch-random-55-4(231),von_koch-random-60-2(264),von_koch-random-60-5(265)
5,5421.576233,2851.723732,7750.364384,628.548833,99979.349091
10,11417.799754,5540.830744,15750.103929,1323.223994,206763.644148
15,17643.764604,7882.082817,23539.052139,1972.103881,313969.27624
20,23205.082412,10084.507087,30106.552545,2625.984105,413812.904802
25,28862.960726,12304.232464,36634.54691,3277.968519,513911.966927
30,34244.799204,14489.347686,42796.759184,3894.366994,609898.310992
