maxK,random-2-opt-60-1337(354),von_koch-random-55-3(308),von_koch-random-55-4(308),von_koch-random-60-2(354),von_koch-random-60-5(351)
5,6989.109886,2188.543857,10021.786703,775.903366,111647.435474
10,14281.719626,4765.898444,19503.489375,1623.414765,232985.541138
15,20718.868297,7306.026881,29448.170546,2459.857532,342463.735775
20,26947.858008,9782.983248,38495.641645,3293.781286,451578.847344
25,32940.441843,12066.502978,47556.981141,4046.451757,553382.429389
30,38622.890112,14326.588851,56372.048842,4797.611186,657680.124666
