vertices,ProbShared2
987,0.9999087694741391
1060,0.9999967679090261
881,0.9999661163236916
942,0.99995882318252
1010,0.9999286261545653
1078,1.0
1434,0.9999351663814315
1537,0.9999816823285805
1728,0.9721131374373269
1852,0.9999242193053495
2143,0.9999429395886691
2283,0.9858309403297496
1670,0.9981364127140249
1732,0.9999130829148457
1160,0.9999037999103586
1226,0.999906967751941
1436,0.9999470723241314
1549,1.0
1716,0.999920400954041
1819,0.9999287861482888
3107,0.7788766225843555
3401,0.78116084681041
4513,0.7321595092624785
2876,0.7823520046536523
3297,0.7739901289505788
4355,0.6624786580511748
2698,0.8654195774563311
2981,0.8931530744941615
3957,0.7622013268199522
2796,0.797953042621334
3173,0.8343672774334489
4252,0.7058654057993299
2406,0.7979919919633526
2686,0.8826086718663173
3627,0.7778323669942367
4604,0.8658161206726868
5329,0.7738075068982045
7019,0.5910932952427058
5316,0.727745383678181
6033,0.7519807135336158
7850,0.5343507653920158
3703,0.8612732578255436
4271,0.8659139414918161
5623,0.9510560576381595
4375,0.7854660424708443
5067,0.8497189342143754
6537,0.7949128441678496
3648,0.8358695178287556
4193,0.8869042259196259
5543,0.9268890935593199
4139,0.8822790649090024
4805,0.915965161277906
6076,0.8292750092261982
3797,0.7973740716007717
4427,0.8875698164429185
5685,0.9431740524750696
3699,0.9346547434621241
4238,0.9999060006755612
5608,1.0
3657,0.8565760184627742
4288,0.8795330999681645
5551,0.8707268289032654
3844,0.8946980004202716
4411,0.8989919701129808
5676,0.8405381966683594
3743,0.9122979606194085
4283,0.931334393127175
5380,0.7883825853606037
4010,0.7527450211642213
4538,0.8678265270965735
5640,0.9052527244468905
1434,0.9999351663814315
1728,0.9577544726131004
2143,0.9999429395886691
1670,0.9854662711204478
1436,0.9999470723241314
1716,0.999920400954041
1505,0.9574672149911878
1661,0.9999831035891884
2345,0.9999022958320447
1743,0.9999190172570059
