vertices,ProbShared2
987,1.0
1060,1.0
881,1.0
942,1.0
1010,0.9999434422004818
1078,1.0
1434,1.0
1537,1.0
1728,0.9554149091432629
1852,0.9999087916633006
2143,0.9999282817089383
2283,0.9999378422604293
1670,0.9999141192594299
1732,0.9999033672560566
1160,1.0
1226,1.0
1436,1.0
1549,1.0
1716,0.9999043581140177
1819,0.9999009413913759
3107,0.9657433482735672
3401,0.9999002238136847
4513,0.9999757240745318
2876,0.8295567071275196
3297,0.8909807758701299
4355,0.9049962943647218
2698,0.9999100051785377
2981,0.9999009148931528
3957,0.9999974070742089
2796,0.9642641186911179
3173,1.0
4252,0.8755282983424064
2406,0.9999696894234392
2686,0.9999374495313397
3627,0.965121473403865
4604,0.9711152370142823
5329,0.9557460357676972
7019,0.9711469999503918
5316,0.9345974385571535
6033,0.8895101757264972
7850,0.9061228566844697
3703,1.0
4271,0.9999079979124409
5623,0.9999833659475358
4375,0.8938817288811366
5067,0.9746120821266351
6537,1.0
3648,0.9649240988540052
4193,0.9675213336281955
5543,0.9999236226680919
4139,0.9562658532921045
4805,0.9642094957487726
6076,0.9814517503547239
3797,0.9145725880532284
4427,0.972547573783305
5685,0.9999295795577512
3699,0.9999625240315665
4238,1.0
5608,0.9999648585688027
3657,0.9447682638659344
4288,0.9908408122699369
5551,1.0
3844,1.0
4411,0.9999413051897429
5676,1.0
3743,0.9999078629031077
4283,0.958736694147734
5380,1.0
4010,0.8933759331421417
4538,0.8927425466264831
5640,0.9999062450958618
1434,1.0
1728,0.9506809525360059
2143,0.9999282817089383
1670,0.9999141192594299
1436,1.0
1716,0.9999043581140177
1505,0.9999149777125286
1661,0.9999277540017419
2345,0.9999098584912648
1743,0.9999484624473063
