vertices,val,time,ProbShared,ProbShared2
987,55465.53975,55465.53975,55465.53975,55465.53975,55465.53975,55465.53975
1060,57460.920166,57460.920166,57460.920166,57460.920166,57460.920166,57460.920166
881,59467.770337,59467.770337,59467.770337,59467.770337,59467.770337,59467.770337
942,61655.783288,61655.783288,61655.783288,61661.446943,61661.446943,61655.783288
1010,6516.355685,6516.355685,6516.355685,6516.355685,6516.355685,6516.355685
1078,6702.645781,6702.645781,6702.645781,6702.645781,6702.645781,6702.645781
1434,50000.504822,50000.504822,50000.504822,50004.639614,50004.639614,50000.504822
1537,51911.217691,51911.217691,51911.217691,51915.882915,51915.882915,51911.217691
1728,239564.892759,239564.892759,239564.892759,239585.594809,239585.594809,239564.892759
1852,252052.143044,252052.143044,252052.143044,252075.180562,252075.180562,252052.143044
2143,59238.507261,59238.507261,59238.507261,59242.73545,59242.73545,59238.507261
2283,60943.897502,60943.897502,60943.897502,60946.943161,60946.943161,60943.897502
1670,7284.349323,7284.349323,7284.349323,7284.902512,7284.902512,7284.349323
1732,7488.604763,7488.604763,7488.604763,7489.238685,7489.238685,7488.604763
1160,56676.979414,56676.979414,56676.979414,56676.979414,56676.979414,56676.979414
1226,56676.979414,56676.979414,56676.979414,56677.974159,56677.974159,56676.979414
1436,621.876626,621.876626,621.876626,621.876626,621.876626,621.876626
1549,650.401004,650.401004,650.401004,650.401004,650.401004,650.401004
1716,55440.754042,55440.754042,55440.754042,55445.982245,55445.982245,55440.754042
1819,58007.42754,58007.42754,58007.42754,58012.944277,58012.944277,58007.42754
3107,215487.665169,215487.665169,215487.665169,238482.512842,238482.512842,215487.665169
3401,229931.356086,229931.356086,229931.356086,245222.533181,245222.533181,229931.356086
4513,241149.666429,241149.666429,241149.666429,275490.05717,275490.05717,241149.666429
2876,221592.939708,221592.939708,221592.939708,283329.038978,283329.038978,221592.939708
3297,245819.034774,245819.034774,245819.034774,294549.45576,294549.45576,245819.034774
4355,254119.644853,254119.644853,254119.644853,322289.756586,322289.756586,254119.644853
2698,7838.025988,7838.025988,7838.025988,8535.696864,8535.696864,7838.025988
2981,8163.795013,8163.795013,8163.795013,8697.493931,8697.493931,8163.795013
3957,8484.360409,8484.360409,8484.360409,9401.623686,9401.623686,8484.360409
2796,19882.404412,19882.404412,19882.404412,23321.915757,23321.915757,19882.404412
3173,20276.260253,20276.260253,20276.260253,24070.108877,24070.108877,20276.260253
4252,21536.769355,21536.769355,21536.769355,26485.646178,26485.646178,21536.769355
2406,60245.541099,60245.541099,60245.541099,60245.541099,60245.541099,60245.541099
2686,59630.609683,59630.609683,59630.609683,65283.988145,65283.988145,59630.609683
3627,60437.6932,60437.6932,60437.6932,72350.90078,72350.90078,60437.6932
4604,833.471461,833.471461,833.471461,949.981553,949.981553,833.471461
5329,910.188888,910.188888,910.188888,1002.568075,1002.568075,910.188888
7019,1029.544573,1029.544573,1029.544573,1181.392779,1181.392779,1029.544573
5316,836.932212,836.932212,836.932212,1078.697264,1078.697264,836.932212
6033,897.852804,897.852804,897.852804,1101.744211,1101.744211,897.852804
7850,969.238957,969.238957,969.238957,1248.450762,1248.450762,969.238957
3703,61822.23874,61822.23874,61822.23874,64220.582225,64220.582225,61822.23874
4271,60232.645358,60232.645358,60232.645358,68243.514247,68243.514247,60232.645358
5623,73063.273986,73063.273986,73063.273986,73069.029818,73069.029818,73063.273986
4375,22921.220448,22921.220448,22921.220448,27237.448443,27237.448443,22921.220448
5067,25893.267766,25893.267766,25893.267766,28237.854342,28237.854342,25893.267766
6537,28666.87176,28666.87176,28666.87176,31001.285752,31001.285752,28666.87176
3648,18074.207574,18074.207574,18074.207574,20330.501345,20330.501345,18074.207574
4193,18928.297985,18928.297985,18928.297985,21144.599253,21144.599253,18928.297985
5543,20442.107933,20442.107933,20442.107933,22103.6726,22103.6726,20442.107933
4139,97427.568073,97427.568073,97427.568073,104081.473638,104081.473638,97427.568073
4805,102099.294316,102099.294316,102099.294316,109739.681185,109739.681185,102099.294316
6076,104018.409269,104018.409269,104018.409269,118738.773402,118738.773402,104018.409269
3797,17904.461114,17904.461114,17904.461114,22497.900792,22497.900792,17904.461114
4427,20459.016106,20459.016106,20459.016106,23418.916133,23418.916133,20459.016106
5685,23886.771161,23886.771161,23886.771161,23888.978398,23888.978398,23886.771161
3699,51858.162305,51858.162305,51858.162305,52139.004623,52139.004623,51858.162305
4238,55339.780741,55339.780741,55339.780741,55342.204081,55342.204081,55339.780741
5608,60330.250195,60330.250195,60330.250195,60330.250195,60330.250195,60330.250195
3657,17028.221142,17028.221142,17028.221142,18837.953092,18837.953092,17028.221142
4288,18427.296398,18427.296398,18427.296398,20065.702764,20065.702764,18427.296398
5551,18664.480187,18664.480187,18664.480187,21415.168333,21415.168333,18664.480187
3844,85437.946222,85437.946222,85437.946222,91771.304044,91771.304044,85437.946222
4411,90573.478426,90573.478426,90573.478426,97902.594642,97902.594642,90573.478426
5676,93904.73062,93904.73062,93904.73062,103413.096687,103413.096687,93904.73062
3743,22655.109199,22655.109199,22655.109199,24506.448582,24506.448582,22655.109199
4283,23333.512209,23333.512209,23333.512209,25206.469525,25206.469525,23333.512209
5380,25934.932936,25934.932936,25934.932936,25937.515363,25937.515363,25934.932936
4010,20720.760119,20720.760119,20720.760119,26198.92764,26198.92764,20720.760119
4538,22185.333051,22185.333051,22185.333051,27174.074105,27174.074105,22185.333051
5640,24753.656408,24753.656408,24753.656408,29000.077244,29000.077244,24753.656408
1434,50000.504822,50000.504822,50000.504822,50004.639614,50004.639614,50000.504822
