#solverEvo	
#Instance	Iteration	Segments	Edges	Vertices	Max k	Time	Solution value	Upper bound value	
von_koch-random-55-3	0	163	8018	2645	25	536686081256	26683.971468	-85347990366066903360194722460336676220782324085129692844808043796200685883760194643265772808100349991553248158642351145692886228989761631926254226824619362639724836603035648.000000	
von_koch-random-55-3	1	179	9179	3026	25	847557389149	29138.578792	0.000000	
von_koch-random-55-3	2	213	12651	4170	25	553778316958	32786.584555	0.000000	
von_koch-random-55-4	0	163	8930	2948	25	737839968101	76826.744179	-4817924733467837335813554064850077750049946246920072787702455005634685802390687265153005649920.000000	
von_koch-random-55-4	1	179	10131	3342	25	748554478069	83894.803415	-6341.722201	
von_koch-random-55-4	2	213	13595	4480	25	612242740392	88598.967883	0.000000	
random-x-monotone-55-1337	0	158	8898	2950	25	435444820647	70199.740839	-1427568530316676268583187929541447010643664508114059944985661223000022723896056252531156346561144432744640123627799790515886754963343306521389913203461331917998204253595430867297659255009428232133150725131904627041386705351818080339166161641573068405755700769311424512.000000	
random-x-monotone-55-1337	1	172	10199	3379	25	911684616424	77877.771202	0.000000	
random-x-monotone-55-1337	2	205	13562	4489	25	913378594138	83419.473308	0.000000	
von_koch-random-55-5	0	163	8804	2908	25	577195083838	891525.149392	207974872581048092697813273808139269638432061121328058937905654903464851338623505260422086787829536631979427361422707974843265043062623718880166450153463835191672832.000000	
von_koch-random-55-5	1	179	10461	3453	25	631506795775	1076665.788252	-78059160629459.921875	
von_koch-random-55-5	2	213	14639	4831	25	910631104193	1209577.854987	0.000000	
von_koch-random-55-2	0	163	9705	3209	25	807231984095	9398.398072	0.000000	
von_koch-random-55-2	1	179	11283	3729	25	678413924023	9961.263046	0.000000	
von_koch-random-55-2	2	213	15422	5093	25	815691186293	11406.829383	-0.000000	
