#solverEvo	
#Instance	Iteration	Segments	Edges	Vertices	Max k	Time	Solution value	Upper bound value	
von_koch-random-55-3	0	163	8018	2645	25	536686081256	26683.971468	-85347990366066903360194722460336676220782324085129692844808043796200685883760194643265772808100349991553248158642351145692886228989761631926254226824619362639724836603035648.000000	
von_koch-random-55-3	1	179	9179	3026	25	847557389149	29138.578792	0.000000	
von_koch-random-55-3	2	213	12651	4170	25	553778316958	32786.584555	0.000000	
von_koch-random-55-4	0	163	8930	2948	25	737839968101	76826.744179	-4817924733467837335813554064850077750049946246920072787702455005634685802390687265153005649920.000000	
von_koch-random-55-4	1	179	10131	3342	25	748554478069	83894.803415	-6341.722201	
von_koch-random-55-4	2	213	13595	4480	25	612242740392	88598.967883	0.000000	
random-x-monotone-55-1337	0	158	8898	2950	25	435444820647	70199.740839	-1427568530316676268583187929541447010643664508114059944985661223000022723896056252531156346561144432744640123627799790515886754963343306521389913203461331917998204253595430867297659255009428232133150725131904627041386705351818080339166161641573068405755700769311424512.000000	
random-x-monotone-55-1337	1	172	10199	3379	25	911684616424	77877.771202	0.000000	
random-x-monotone-55-1337	2	205	13562	4489	25	913378594138	83419.473308	0.000000	
von_koch-random-55-5	0	163	8804	2908	25	577195083838	891525.149392	207974872581048092697813273808139269638432061121328058937905654903464851338623505260422086787829536631979427361422707974843265043062623718880166450153463835191672832.000000	
von_koch-random-55-5	1	179	10461	3453	25	631506795775	1076665.788252	-78059160629459.921875	
von_koch-random-55-5	2	213	14639	4831	25	910631104193	1209577.854987	0.000000	
von_koch-random-55-2	0	163	9705	3209	25	807231984095	9398.398072	0.000000	
von_koch-random-55-2	1	179	11283	3729	25	678413924023	9961.263046	0.000000	
von_koch-random-55-2	2	213	15422	5093	25	815691186293	11406.829383	-0.000000	
random-2-opt-60-1337	0	193	11116	3681	25	744403712072	71856.043248	0.000000	
random-2-opt-60-1337	1	209	13157	4356	25	923096379997	80120.433482	0.000000	
random-2-opt-60-1337	2	246	18060	5978	25	680333562912	87956.138763	871114502630804755604379744063976556254960792011103484039197569289551872.000000	
von_koch-random-60-2	0	193	12579	4153	25	564066337643	10038.970541	-0.000000	
von_koch-random-60-2	1	209	14504	4787	25	659692523135	10247.075988	0.000000	
von_koch-random-60-2	2	246	20183	6665	25	899869026726	11399.539821	871114502630804755604379744063976556254960792011103484039197569289551872.000000	
von_koch-random-60-5	0	193	10493	3462	25	607574195712	950645.343476	-4817924733467837335813554064850077750049946246920072787702455005634685802390687265153005649920.000000	
von_koch-random-60-5	1	209	12522	4132	25	741754544151	952465.325195	1261273018911706701344258629042176.000000	
von_koch-random-60-5	2	246	17719	5850	25	768123766754	1121656.658352	256807960839302231706997985631582129727643431745463563087050922004186422712759881865974003075505586512533127489146027440195304366329668726257470045946856422097210331406899596063205645385111854027980668928.000000	
random-2-opt-65-42	0	229	16752	5551	25	737003982364	79310.996606	0.000000	
random-2-opt-65-42	1	248	19903	6595	25	602414361888	80433.948391	0.000000	
random-2-opt-65-42	2	292	27537	9125	25	656090412927	97346.705701	151152105593212908783225089611711891464537631243959969102835203539207067859912340984609544319991174368981421317118614007120125973133945290800870846519979618122923375040437726346137708244017148745266272234224490643456.000000	
random-x-monotone-65-1337	0	229	17280	5727	25	694950063377	88103.221031	0.000000	
random-x-monotone-65-1337	1	248	20533	6805	25	758309713516	90440.017121	0.000000	
random-x-monotone-65-1337	2	292	28485	9441	25	613829261417	97628.659466	-18704494529110033348361056955238483787036800774122669808661115325622369815580864487766771598966280114271927639512258962318593763878610714571810477860271167837890417064185536937197568.000000	
random-2-opt-50-1337	0	135	5519	1828	25	919224000545	66110.165938	-0.000000	
random-2-opt-50-1337	1	148	6426	2126	25	741243773475	70033.097487	21184451240970684320608230284508605938469170272972911895671262241917386393256765922847511904084714340650382859301076909657802723187897534533660201915588213738906888807193321856730170767205461674680006523431432211620677996716952156657193386709398501046260330568200083350027763712.000000	
random-2-opt-50-1337	2	172	9021	2983	25	696172600552	78267.510638	-4817924733467837335813554064850077750049946246920072787702455005634685802390687265153005649920.000000	
ic_die20-darkness-50-int-42	0	135	7250	2405	25	389225462996	25336.184569	0.000000	
ic_die20-darkness-50-int-42	1	148	8508	2820	25	696648781810	28202.719594	0.000000	
ic_die20-darkness-50-int-42	2	172	11064	3664	25	813033545292	32103.793680	0.000000	
ic_die22-edges-50-int-42	0	135	5873	1946	25	558998873040	18201.285142	0.000000	
ic_die22-edges-50-int-42	1	148	7071	2341	25	765924243260	20061.192917	0.000000	
ic_die22-edges-50-int-42	2	172	9117	3015	25	621263354259	24052.491653	0.000000	
skyline_new_york-edges-50-float-42	0	135	7010	2325	25	586893609309	95324.290226	1961775045848975015936.000000	
skyline_new_york-edges-50-float-42	1	148	8181	2711	25	552439734685	102841.785918	0.000000	
skyline_new_york-edges-50-float-42	2	172	10554	3494	25	395165193845	116567.277090	0.000000	
ic_die21-color-50-int-42	0	135	6065	2010	25	906840564080	21924.960366	1961775045848975015936.000000	
ic_die21-color-50-int-42	1	148	6993	2315	25	915913668811	23154.516519	0.000000	
ic_die21-color-50-int-42	2	172	9453	3127	25	603647691536	26460.475773	0.000000	
