maxK,random-2-opt-60-1337(392),von_koch-random-55-3(348),von_koch-random-55-4(348),von_koch-random-60-2(392),von_koch-random-60-5(392)
5,12077.54325,3558.065126,10966.700996,1084.647629,125341.549621
10,35166.501947,9744.111781,30610.877286,2995.289866,325935.359634
15,54841.05347,17453.054899,54893.582827,5768.594955,673843.253892
20,84101.081445,25605.395695,79582.793809,9871.444848,958107.905155
25,120903.893089,38598.542032,109926.328421,13693.555858,1356157.705632
30,158561.752238,49768.245331,140220.88894,17803.297978,1802164.533276
