maxK,random-2-opt-60-1337(389),von_koch-random-55-3(339),von_koch-random-55-4(339),von_koch-random-60-2(389),von_koch-random-60-5(389)
5,10640.607113,3751.835529,12259.559201,1328.984959,135368.784125
10,29363.2313,10796.170666,33917.098676,3185.921372,383935.763446
15,57715.948469,18800.350972,58524.747799,5914.974061,692358.368162
20,93467.594458,28478.782319,86361.547496,10786.311391,1134257.937335
25,132059.151682,38600.785928,116228.054868,15076.809087,1524876.076973
30,169179.965874,50233.817352,148899.864572,20011.309046,1937988.329433
