maxK,random-2-opt-60-1337(325),von_koch-random-55-3(282),von_koch-random-55-4(282),von_koch-random-60-2(325),von_koch-random-60-5(325)
5,12468.610113,3663.920333,11357.003323,1229.060071,137399.72227
10,29119.068901,10163.240883,29081.823647,3509.828654,385459.859809
15,52486.805175,17860.262333,48446.771384,5854.753735,658813.436088
20,80734.450507,25898.517356,71709.060486,9666.620871,1008705.623708
25,114301.180504,33862.838469,94021.399681,13036.817775,1405765.487174
30,147129.049673,42475.199238,119269.502174,16931.415575,1776947.147405
