maxK,random-2-opt-60-1337(264),von_koch-random-55-3(230),von_koch-random-55-4(231),von_koch-random-60-2(264),von_koch-random-60-5(265)
30,34244.799204,14489.347686,42796.759184,3894.366994,609898.310992
35,39529.539904,16681.657923,48375.148291,4458.947678,702852.287618
40,44627.374554,18638.907306,53708.417948,4991.85052,796800.289179
45,49660.736964,20657.126925,58638.819587,5504.670178,886326.944652
50,54569.160106,22548.410225,63295.246415,6037.222145,967380.711955
55,59031.147653,24457.961455,67401.728565,6523.401714,1045900.266816
