#solverSALocal	
#Instance	Iteration	Segments	Edges	Vertices	Max k	Time	Solution value	Upper bound value	
von_koch-random-60-5	2	246	11869	5850	30	325563902973	1385451.680043	
random-x-monotone-55-1337	0	158	5948	2950	5	37914258452	11175.861771	
random-x-monotone-55-1337	0	158	5948	2950	10	93726101920	26425.131508	
random-x-monotone-55-1337	0	158	5948	2950	15	121304764009	43115.515147	
random-x-monotone-55-1337	0	158	5948	2950	20	134873782337	59001.732083	
random-x-monotone-55-1337	0	158	5948	2950	25	145445030264	74732.271346	
random-x-monotone-55-1337	0	158	5948	2950	30	317797260209	93851.833726	
random-x-monotone-55-1337	1	172	6820	3379	5	46267836463	11175.861771	
random-x-monotone-55-1337	1	172	6820	3379	10	75593441738	26425.131508	
random-x-monotone-55-1337	1	172	6820	3379	15	133534729096	43756.149865	
random-x-monotone-55-1337	1	172	6820	3379	20	189572807366	60439.767283	
random-x-monotone-55-1337	1	172	6820	3379	25	230831901532	77719.749782	
random-x-monotone-55-1337	1	172	6820	3379	30	276752807821	97391.974153	
random-x-monotone-55-1337	2	205	9073	4489	5	50546595416	11175.861771	
random-x-monotone-55-1337	2	205	9073	4489	10	108233805330	26411.692641	
random-x-monotone-55-1337	2	205	9073	4489	15	160933566633	43756.149865	
random-x-monotone-55-1337	2	205	9073	4489	20	261962737297	62446.536770	
random-x-monotone-55-1337	2	205	9073	4489	25	280705731243	82694.942391	
random-x-monotone-55-1337	2	205	9073	4489	30	367896681813	104403.611046	
von_koch-random-60-4	0	193	7654	3764	5	51121153788	11222.010023	
von_koch-random-60-4	0	193	7654	3764	10	89943626453	27208.658426	
von_koch-random-60-4	0	193	7654	3764	15	137057383214	42881.794790	
von_koch-random-60-4	0	193	7654	3764	20	214519768283	60767.130949	
von_koch-random-60-4	0	193	7654	3764	25	256544245472	78932.423826	
von_koch-random-60-4	0	193	7654	3764	30	304703069086	95850.997390	
von_koch-random-60-4	1	209	8986	4418	5	66068496769	11222.010023	
von_koch-random-60-4	1	209	8986	4418	10	119458204250	27100.033271	
von_koch-random-60-4	1	209	8986	4418	15	160361113888	42888.449277	
von_koch-random-60-4	1	209	8986	4418	20	264783204993	60824.318917	
von_koch-random-60-4	1	209	8986	4418	25	292759318205	79730.348488	
von_koch-random-60-4	1	209	8986	4418	30	297426863185	98101.048257	
von_koch-random-60-4	2	246	11435	5621	5	66260061767	11311.234226	
von_koch-random-60-4	2	246	11435	5621	10	201867786511	28981.736301	
von_koch-random-60-4	2	246	11435	5621	15	217993665357	47940.613897	
von_koch-random-60-4	2	246	11435	5621	20	297878789057	67431.984100	
von_koch-random-60-4	2	246	11435	5621	25	391468035725	88677.455139	
von_koch-random-60-4	2	246	11435	5621	30	486639345555	109595.075469	
von_koch-random-60-3	0	193	6361	3129	5	49320087435	4547.729420	
von_koch-random-60-3	0	193	6361	3129	10	79238556400	9648.487781	
von_koch-random-60-3	0	193	6361	3129	15	114536724226	15200.365828	
von_koch-random-60-3	0	193	6361	3129	20	194620538548	21139.836328	
von_koch-random-60-3	0	193	6361	3129	25	219393640415	27173.434852	
von_koch-random-60-3	0	193	6361	3129	30	313027175796	33491.441428	
von_koch-random-60-3	1	209	7494	3685	5	42739242072	4724.960189	
von_koch-random-60-3	1	209	7494	3685	10	84188908429	9907.208662	
von_koch-random-60-3	1	209	7494	3685	15	172971025734	15639.454850	
von_koch-random-60-3	1	209	7494	3685	20	240317236884	22405.480775	
von_koch-random-60-3	1	209	7494	3685	25	279854910645	29506.484986	
von_koch-random-60-3	1	209	7494	3685	30	312203855843	36149.529732	
von_koch-random-60-3	2	246	10551	5190	5	54344835884	4856.873737	
von_koch-random-60-3	2	246	10551	5190	10	125579785835	10626.227494	
von_koch-random-60-3	2	246	10551	5190	15	247067806644	17565.655079	
von_koch-random-60-3	2	246	10551	5190	20	285726610464	24555.046059	
von_koch-random-60-3	2	246	10551	5190	25	409494455249	33273.602174	
von_koch-random-60-3	2	246	10551	5190	30	503703007525	41071.067353	
von_koch-random-55-5	0	163	5896	2908	5	36698459208	147492.691590	
von_koch-random-55-5	0	163	5896	2908	10	86764808319	339224.441096	
von_koch-random-55-5	0	163	5896	2908	15	175896341089	551743.845327	
von_koch-random-55-5	0	163	5896	2908	20	159583858631	770307.437474	
von_koch-random-55-5	0	163	5896	2908	25	217600383272	974706.721614	
von_koch-random-55-5	0	163	5896	2908	30	241710294557	1201739.660604	
von_koch-random-55-5	1	179	7008	3453	5	49010451276	155344.625529	
von_koch-random-55-5	1	179	7008	3453	10	128286988606	364012.851422	
von_koch-random-55-5	1	179	7008	3453	15	145595636024	592294.407494	
