maxK,random-2-opt-60-1337(319),von_koch-random-55-3(280),von_koch-random-55-4(280),von_koch-random-60-2(319),von_koch-random-60-5(319)
5,380223276986,287328413623,352357196973,900123050353,900130272957
10,900112418604,632050469467,297441714452,900118942461,900137741696
15,900115461481,842392776950,269284063166,900118079580,900119037267
20,900108435678,447252270734,145149530730,900133242688,900142113294
25,634160148767,262815135733,89510181878,900133349407,900125154713
30,523919079974,145466827542,74641975425,900115733305,900118666125
