maxK,random-2-opt-60-1337(389),von_koch-random-55-3(339),von_koch-random-55-4(339),von_koch-random-60-2(389),von_koch-random-60-5(389)
5,900221947784,900116201291,785722216073,900206664007,900166253788
10,900207220325,900108416640,477660286215,900210380044,900178502282
15,900466664288,900114696662,384793770808,900210948164,900195318127
20,900237444449,803845790430,208762531156,900215714181,900174011196
25,900326078615,450961735926,120944374814,900220818773,844652362886
30,900213770867,153473304039,56054865516,900435505666,581474085360
