maxK,random-2-opt-60-1337(325),von_koch-random-55-3(282),von_koch-random-55-4(282),von_koch-random-60-2(325),von_koch-random-60-5(325)
5,900144023376,471042381740,288331517081,900148818141,900141992733
10,900155078407,335204406481,202849814094,900157711750,900133178177
15,900137075145,253184430685,229197483031,900147677825,901167435083
20,900291604495,158086287668,127963334082,900148833388,900642118798
25,666346243304,163160862535,110589846958,900151657073,454351066646
30,334488479871,110620108167,70102801084,900140290928,277691269409
