#solverIteratedLocal	
#Instance	Iteration	Segments	Edges	Vertices	Max k	Time	Solution value	Upper bound value	
random-2-opt-60-1337	0	193	7435	3681	5	156286638	8254.095347	
random-2-opt-60-1337	0	193	7435	3681	10	930708392	20769.473295	
random-2-opt-60-1337	0	193	7435	3681	15	5592390377	34851.555893	
random-2-opt-60-1337	0	193	7435	3681	20	19359676599	58960.089939	
random-2-opt-60-1337	0	193	7435	3681	25	20360528924	73330.758137	
random-2-opt-60-1337	0	193	7435	3681	30	30866617554	93006.839458	
random-2-opt-60-1337	1	209	8801	4356	5	175984998	11226.621180	
random-2-opt-60-1337	1	209	8801	4356	10	1022489292	22828.998237	
random-2-opt-60-1337	1	209	8801	4356	15	9847418552	39006.253027	
random-2-opt-60-1337	1	209	8801	4356	20	19903127437	59898.722463	
random-2-opt-60-1337	1	209	8801	4356	25	29429393976	81199.735032	
random-2-opt-60-1337	1	209	8801	4356	30	40325799440	100206.351034	
random-2-opt-60-1337	2	246	12082	5978	5	420224810	11258.036407	
random-2-opt-60-1337	2	246	12082	5978	10	812124497	24635.934589	
random-2-opt-60-1337	2	246	12082	5978	15	11415361623	47209.984291	
random-2-opt-60-1337	2	246	12082	5978	20	18117646187	67703.130646	
random-2-opt-60-1337	2	246	12082	5978	25	24873739996	86620.294620	
random-2-opt-60-1337	2	246	12082	5978	30	44352899536	109591.025302	
von_koch-random-55-3	0	163	5373	2645	5	39175798	3034.400093	
von_koch-random-55-3	0	163	5373	2645	10	1162611370	8638.052235	
von_koch-random-55-3	0	163	5373	2645	15	5052891677	14460.640395	
von_koch-random-55-3	0	163	5373	2645	20	11717102892	20302.409869	
von_koch-random-55-3	0	163	5373	2645	25	20912192215	26353.990358	
von_koch-random-55-3	0	163	5373	2645	30	18534826439	32418.536703	
von_koch-random-55-3	1	179	6153	3026	5	44781415	3034.400093	
von_koch-random-55-3	1	179	6153	3026	10	2160159763	10383.784959	
von_koch-random-55-3	1	179	6153	3026	15	6452779017	16127.514910	
von_koch-random-55-3	1	179	6153	3026	20	15977275841	22771.489650	
von_koch-random-55-3	1	179	6153	3026	25	18300810187	29003.545357	
von_koch-random-55-3	1	179	6153	3026	30	25042457571	35371.459408	
von_koch-random-55-3	2	213	8481	4170	5	74611741	3068.561437	
von_koch-random-55-3	2	213	8481	4170	10	3595054065	9997.105009	
von_koch-random-55-3	2	213	8481	4170	15	11276601814	17383.686551	
von_koch-random-55-3	2	213	8481	4170	20	30493528306	26072.762744	
von_koch-random-55-3	2	213	8481	4170	25	51094063802	33545.987601	
von_koch-random-55-3	2	213	8481	4170	30	59492875573	40581.196251	
von_koch-random-55-4	0	163	5982	2948	5	75455311	10853.916524	
von_koch-random-55-4	0	163	5982	2948	10	1003019905	26795.382061	
von_koch-random-55-4	0	163	5982	2948	15	1686298267	43393.739817	
von_koch-random-55-4	0	163	5982	2948	20	4484617892	58618.734908	
von_koch-random-55-4	0	163	5982	2948	25	14913227770	75652.544762	
von_koch-random-55-4	0	163	5982	2948	30	28634154086	96500.672126	
von_koch-random-55-4	1	179	6789	3342	5	84139638	10853.916524	
von_koch-random-55-4	1	179	6789	3342	10	558645798	26719.392129	
von_koch-random-55-4	1	179	6789	3342	15	1983660980	45428.228181	
von_koch-random-55-4	1	179	6789	3342	20	7085542886	66643.988625	
von_koch-random-55-4	1	179	6789	3342	25	12666346673	83599.152108	
von_koch-random-55-4	1	179	6789	3342	30	29327539094	103632.441067	
von_koch-random-55-4	2	213	9115	4480	5	120972563	10853.916524	
von_koch-random-55-4	2	213	9115	4480	10	780013982	26757.635882	
von_koch-random-55-4	2	213	9115	4480	15	3697324123	46377.953030	
von_koch-random-55-4	2	213	9115	4480	20	8334296229	67299.442521	
von_koch-random-55-4	2	213	9115	4480	25	26000462860	89605.467888	
von_koch-random-55-4	2	213	9115	4480	30	41316409096	109443.734305	
von_koch-random-60-2	0	193	8426	4153	5	167599774	1183.302276	
von_koch-random-60-2	0	193	8426	4153	10	875194587	2806.620116	
von_koch-random-60-2	0	193	8426	4153	15	10617911581	5344.033199	
von_koch-random-60-2	0	193	8426	4153	20	22072163878	7412.090765	
von_koch-random-60-2	0	193	8426	4153	25	55582058353	10217.428467	
von_koch-random-60-2	0	193	8426	4153	30	69007275103	12573.718178	
von_koch-random-60-2	1	209	9717	4787	5	195239321	1183.302276	
