vertices,time,solverGreedyLocalGlobal_concat,solverIteratedGlobal_concat,solverIteratedLocal_concat,solverSAGlobal_concat,solverSALocal_concat
3681,0,63196.074748,93006.839458,93006.839458,63196.074748,93318.739809
4356,0,75787.584061,100206.351034,100206.351034,75787.584061,100391.960683
5978,0,98970.989331,109591.025302,109591.025302,98970.989331,111001.618651
2645,0,23460.864914,32418.536703,32418.536703,23502.57418,32495.170675
3026,0,26496.357851,35371.459408,35371.459408,26496.357851,35281.305982
4170,0,22439.571284,40581.196251,40581.196251,22439.571284,40581.196251
2948,0,75560.997756,96500.672126,96500.672126,75783.702655,97534.009641
3342,0,92920.613021,103632.441067,103632.441067,92920.613021,105572.623511
4480,0,97445.851345,109443.734305,109443.734305,97445.851345,111635.755728
4153,0,8324.287146,12573.718178,12573.718178,8324.287146,12506.864933
4787,0,8574.738241,12946.621325,12946.621325,8574.738241,13059.563866
6665,0,12318.881401,14732.53695,14732.53695,12318.881401,14645.970919
3462,0,736909.824667,1179523.727744,1179523.727744,741795.982355,1181557.953793
4132,0,1122680.927111,1277726.239386,1277726.239386,1122680.927111,1257577.661346
5850,0,1308246.959583,1407067.371441,1407067.371441,1308726.10666,1385451.680043
2950,0,74986.508487,92993.400622,92993.400622,75437.691265,93851.833726
3379,0,75130.215551,96554.802268,96554.802268,75130.215551,97391.974153
4489,0,78801.555946,101653.636264,101653.636264,78801.555946,104403.611046
3764,0,76833.920014,95093.582107,95093.582107,76833.920014,95850.99739
4418,0,76833.920014,99853.205202,99853.205202,76833.920014,98101.048257
5621,0,83407.45575,107768.658461,107768.658461,83407.45575,109595.075469
3129,0,24953.56368,32801.636061,32801.636061,24953.56368,33491.441428
3685,0,25434.965474,35783.681926,35783.681926,25434.965474,36149.529732
5190,0,28990.277833,40111.086608,40111.086608,29051.831333,41071.067353
2908,0,837885.623201,1169368.627562,1169368.627562,843109.014812,1201739.660604
3453,0,996489.635211,1312102.65206,1312102.65206,996489.635211,1307276.602566
4831,0,1286622.41336,1478286.960346,1478286.960346,1286622.41336,1460881.004399
3209,0,10743.120057,11900.063519,11900.063519,10743.120057,11911.58166
3729,0,11764.025195,12749.098285,12749.098285,11764.025195,12704.444639
5093,0,12828.405913,14034.747427,14034.747427,12828.405913,14092.043187
3681,0,63196.074748,93006.839458,93006.839458,63196.074748,93318.739809
4356,0,75787.584061,100206.351034,100206.351034,75787.584061,100391.960683
5978,0,98970.989331,109591.025302,109591.025302,98970.989331,111001.618651
2645,0,23460.864914,32418.536703,32418.536703,23502.57418,32495.170675
3026,0,26496.357851,35371.459408,35371.459408,26496.357851,35281.305982
4170,0,22439.571284,40581.196251,40581.196251,22439.571284,40581.196251
2948,0,75560.997756,96500.672126,96500.672126,75783.702655,97534.009641
3342,0,92920.613021,103632.441067,103632.441067,92920.613021,105572.623511
4480,0,97445.851345,109443.734305,109443.734305,97445.851345,111635.755728
4153,0,8324.287146,12573.718178,12573.718178,8324.287146,12506.864933
4787,0,8574.738241,12946.621325,12946.621325,8574.738241,13059.563866
6665,0,12318.881401,14732.53695,14732.53695,12318.881401,14645.970919
3462,0,736909.824667,1179523.727744,1179523.727744,741795.982355,1181557.953793
4132,0,1122680.927111,1277726.239386,1277726.239386,1122680.927111,1257577.661346
5850,0,1308246.959583,1407067.371441,1407067.371441,1308726.10666,1385451.680043
1828,0,60017.861689,82961.983315,82961.983315,60017.861689,82961.983315
2126,0,54057.882718,85420.563429,85420.563429,54057.882718,86514.463787
2983,0,71814.084427,97613.408205,97613.408205,71814.084427,97902.823256
2405,0,28926.84749,34759.144021,34759.144021,28926.84749,34759.144021
2820,0,32753.345843,36594.712031,36594.712031,32753.345843,36849.692992
3664,0,32516.89185,41158.411781,41158.411781,32516.89185,41026.644479
1946,0,16314.270793,25708.904087,25708.904087,16314.270793,25708.904087
2341,0,22575.588664,26566.013235,26566.013235,22575.588664,26804.318739
3015,0,21075.82638,30883.469296,30883.469296,21250.088213,30883.469296
2325,0,85281.750947,127674.940415,127674.940415,85281.750947,130417.332931
2711,0,91779.824266,138447.4438,138447.4438,91861.639622,138447.4438
3494,0,112098.510754,152966.839379,152966.839379,112098.510754,154606.668045
2010,0,23526.30885,27049.575783,27049.575783,23526.30885,27015.879343
2315,0,22354.69501,28151.910001,28151.910001,22354.69501,28799.903804
3127,0,26808.62801,33060.211539,33060.211539,26808.62801,32792.246679
1966,0,57823.289095,67196.817653,67196.817653,57823.289095,67185.269082
2365,0,59577.928312,70100.156214,70100.156214,59577.928312,70586.300863
2970,0,72459.206231,79540.244853,79540.244853,72459.206231,79916.585679
2026,0,21263.516696,23305.721078,23305.721078,21263.516696,23387.66734
2439,0,19596.926247,24083.880498,24083.880498,19672.473675,24871.325224
3126,0,22672.982694,28487.940412,28487.940412,22672.982694,28487.940412
2014,0,98803.168705,114293.661738,114293.661738,98803.168705,114495.742093
2381,0,85143.416597,121757.444595,121757.444595,85223.907819,121757.444595
3153,0,103542.109937,135010.177204,135010.177204,103645.998887,134496.209169
2025,0,23429.938404,28870.438511,28870.438511,23470.607539,28870.438511
2296,0,27179.407648,29795.468959,29795.468959,27179.407648,30710.362116
3165,0,32450.084614,35703.144286,35703.144286,32450.084614,35654.846107
2123,0,26901.47779,32594.847102,32594.847102,26901.47779,32594.847102
2453,0,24931.150247,34715.050714,34715.050714,24931.150247,34680.580291
3324,0,26960.373818,38629.705866,38629.705866,27190.117453,38459.194916
