vertices,Greedy,IteratedGlobal,IteratedLocal,SAGlobal,SALocal
3681,0.623366043,21.651442757,20.420401611,5.343591484,258.762886107
4356,0.929665544,31.01431344,29.506181693,6.936994596,348.847602747
5978,1.852760197,26.210184672,24.930149371,9.774979852,412.363892862
2645,0.454164223,21.547416041,20.819354241,6.020584692,190.04692013
3026,0.563409626,18.866171789,18.290946867,8.22930357,274.039871765
4170,0.727932084,53.165187428,51.020300812,7.786341161,411.310737619
2948,0.612898776,15.87019534,14.943794198,5.796940399,226.266800728
3342,0.74176585,13.388271539,12.669347411,7.411360909,258.88007478
4480,1.067609158,26.609752015,26.00456106,7.468832567,342.140936366
4153,0.872586152,56.425912796,55.779695822,5.886303695,286.082809077
4787,1.040246409,60.293911708,59.29376867,6.185575318,317.990776492
6665,2.292169373,43.635993778,43.260827924,9.263774844,545.70373679
3462,0.545269978,28.708014164,27.566878762,3.745616085,223.373979784
4132,1.015221389,17.240238902,16.967344322,7.525920219,301.771581316
5850,1.791866898,16.598847496,16.349984787,10.763392025,360.800812244
2950,0.594265844,12.241325212,12.176024104,6.015311695,145.445030264
3379,0.698766436,21.266421207,20.91973818,6.245012048,230.831901532
4489,1.038786365,28.24684097,27.718715462,7.535330809,280.705731243
3764,0.736528127,25.063732746,24.497106852,6.605022022,256.544245472
4418,0.911669045,37.410095327,36.154039672,7.112889649,292.759318205
5621,1.371561514,69.321261976,67.779754785,8.824131256,391.468035725
3129,0.592225624,24.133177023,23.62852135,6.146901056,219.393640415
3685,0.713316965,29.781742546,28.914276828,7.217423136,279.854910645
5190,1.119953369,37.450084696,37.101537299,8.436441215,409.494455249
2908,0.636474662,25.698783093,24.684193758,5.127065815,217.600383272
3453,0.843996048,26.829247067,26.351454816,6.429057504,302.960501061
4831,1.433091809,20.292394991,20.180555025,9.610044139,402.569274449
3209,0.871323196,9.439081649,9.418450032,6.842751683,193.172652392
3729,1.099074593,18.503316613,18.421621509,7.756851778,302.691096836
5093,1.723722118,26.337648285,25.163579079,10.783769211,367.766037355
3681,0.618418352,21.576628412,20.360528924,5.306952706,248.047673533
4356,0.928164862,30.966190536,29.429393976,6.856721445,341.856618606
5978,1.828003395,26.242367491,24.873739996,9.581871422,402.628614161
2645,0.454819515,21.321216085,20.912192215,5.88717019,184.10457171
3026,0.567422852,18.841872054,18.300810187,7.857135001,265.25412489
4170,0.730984906,54.575409478,51.094063802,7.431561883,414.020236738
2948,0.607905293,15.438501832,14.91322777,5.910232686,231.317273845
3342,0.741281496,12.948386719,12.666346673,7.341028485,255.275717881
4480,1.070255859,26.684237379,26.00046286,7.393952668,336.349997377
4153,0.873082053,56.200697105,55.582058353,5.767076768,279.83156095
4787,1.039654994,60.114118024,58.971351244,5.96619914,311.375894452
6665,2.311183128,43.001966714,42.175864023,9.09305923,530.4881861
3462,0.546584922,28.816021987,27.590322077,3.699360494,221.778960682
4132,1.009975389,17.770175475,16.938538754,7.581542987,297.489009003
5850,1.814001021,16.456160735,16.342270463,10.597210573,352.259959179
1828,0.23087982,8.787867265,8.405422597,4.203451654,157.922386761
2126,0.268049315,11.257344561,10.670859073,3.505499121,143.483680952
2983,0.490159487,18.193110414,17.320993849,4.890008673,188.705846094
2405,0.511466971,12.631697768,12.175454683,4.495804031,159.642068796
2820,0.705815006,6.198333319,5.993389933,5.925808847,216.239732616
3664,0.936396608,12.780640315,12.119190444,5.223100603,158.865910956
1946,0.321669401,12.593966627,12.040024012,4.206512556,145.502091907
2341,0.444673515,10.482593442,9.991913977,4.404539129,161.855409911
3015,0.603141416,15.719416687,14.980682738,5.566234195,157.061723855
2325,0.366571795,14.29667162,13.680555249,4.153450937,170.655887368
2711,0.481197054,24.323860583,23.880203417,5.349160861,205.019459149
3494,0.810111543,27.265375253,27.252186852,6.414977478,248.703194956
2010,0.365892976,7.942976836,7.880449082,4.764716985,188.837447778
2315,0.413165352,10.428977269,10.373878158,4.649491482,194.153930777
3127,0.645916148,11.626464919,11.96135567,5.915306416,170.682539597
1966,0.332359514,7.447626877,7.461599165,3.831773504,111.278308928
2365,0.439634851,15.340081962,15.291640855,4.765274508,213.852283519
2970,0.749487956,7.995192963,8.255124819,5.378882681,228.578830225
2026,0.383628708,5.184899289,5.181692167,3.795418448,148.776056735
2439,0.456085588,11.618224627,11.014501974,4.291993956,157.078131296
3126,0.623332194,16.649325737,16.52387416,5.219221334,233.422246335
2014,0.364035203,6.957502212,6.951287308,5.045961378,150.586176141
2381,0.330631956,10.961682688,10.675292258,4.597436149,167.769326524
3153,0.598266666,12.028729937,11.786484672,6.653404733,281.884058831
2025,0.363343141,7.12689723,6.682508416,3.714285864,131.025603403
2296,0.49041816,4.105167789,4.055514277,4.64635649,194.252835237
3165,0.812673719,17.638356243,17.502266743,6.514632837,180.686338575
2123,0.371554776,11.070447887,10.985349415,4.123783517,215.131736745
2453,0.409618608,16.466910421,16.279811561,3.853769143,171.119264164
3324,0.674221195,22.464407588,22.198310888,5.614519951,228.872758673
