vertices,time,solverGreedyLocalGlobal_concat,solverIteratedGlobal_concat,solverIteratedLocal_concat,solverSAGlobal_concat,solverSALocal_concat
3681,0,34941.060374,58960.089939,58960.089939,34941.060374,58729.637742
4356,0,41779.533461,59898.722463,59898.722463,41779.533461,60756.142316
5978,0,57112.958685,67703.130646,67703.130646,57112.958685,67451.307621
2645,0,12322.373959,20302.409869,20302.409869,12322.373959,20444.361252
3026,0,14504.255631,22771.48965,22771.48965,14517.643634,22896.889306
4170,0,11022.833981,26072.762744,26072.762744,11022.833981,26072.762744
2948,0,52555.553711,58618.734908,58618.734908,52555.553711,60530.626167
3342,0,59799.586878,66643.988625,66643.988625,59799.586878,66820.063008
4480,0,61582.828425,67299.442521,67299.442521,61582.828425,70790.935132
4153,0,4518.234304,7412.090765,7412.090765,4518.234304,7850.554609
4787,0,4699.568626,7615.369806,7615.369806,4711.568626,8097.007539
6665,0,7078.991258,8652.824667,8652.824667,7140.837842,8667.966141
3462,0,487699.047762,624448.67666,624448.67666,487699.047762,771068.349443
4132,0,713835.991416,776286.92693,776286.92693,713835.991416,779888.821286
5850,0,771483.135873,879244.056734,879244.056734,776396.315407,891387.468221
2950,0,45369.348184,58372.784695,58372.784695,46051.201405,59001.732083
3379,0,41959.260501,59679.162813,59679.162813,41959.260501,60439.767283
4489,0,42324.87466,62334.603569,62334.603569,42677.232281,62446.53677
3764,0,47446.749953,61015.18641,61015.18641,48022.749953,60767.130949
4418,0,47446.749953,61015.18641,61015.18641,47453.144819,60824.318917
5621,0,48386.439971,64363.390731,64363.390731,48386.439971,67431.9841
3129,0,15614.515673,19022.497779,19022.497779,15614.515673,21139.836328
3685,0,14685.898903,20356.463806,20356.463806,14685.898903,22405.480775
5190,0,14540.946965,24059.981688,24059.981688,15168.125439,24555.046059
2908,0,519617.705825,778411.270847,778411.270847,524024.599011,770307.437474
3453,0,606807.701963,834572.192512,834572.192512,606807.701963,833754.338104
4831,0,683179.417482,935414.20787,935414.20787,687475.429979,935414.20787
3209,0,6645.597062,7466.119511,7466.119511,6645.597062,7480.807047
3729,0,7074.202391,8025.351692,8025.351692,7074.202391,8025.351692
5093,0,7599.73113,8732.018465,8732.018465,7599.73113,8652.249606
3681,0,34941.060374,58960.089939,58960.089939,34941.060374,58729.637742
4356,0,41779.533461,59898.722463,59898.722463,41779.533461,60756.142316
5978,0,57112.958685,67703.130646,67703.130646,57112.958685,67451.307621
2645,0,12322.373959,20302.409869,20302.409869,12322.373959,20444.361252
3026,0,14504.255631,22771.48965,22771.48965,14517.643634,22896.889306
4170,0,11022.833981,26072.762744,26072.762744,11022.833981,26072.762744
2948,0,52555.553711,58618.734908,58618.734908,52555.553711,60530.626167
3342,0,59799.586878,66643.988625,66643.988625,59799.586878,66820.063008
4480,0,61582.828425,67299.442521,67299.442521,61582.828425,70790.935132
4153,0,4518.234304,7412.090765,7412.090765,4518.234304,7850.554609
4787,0,4699.568626,7615.369806,7615.369806,4711.568626,8097.007539
6665,0,7078.991258,8652.824667,8652.824667,7140.837842,8667.966141
3462,0,487699.047762,624448.67666,624448.67666,487699.047762,771068.349443
4132,0,713835.991416,776286.92693,776286.92693,713835.991416,779888.821286
5850,0,771483.135873,879244.056734,879244.056734,776396.315407,891387.468221
1828,0,37982.201388,51630.90326,51630.90326,37982.201388,51630.90326
2126,0,30670.485551,52941.282665,52941.282665,30670.485551,53474.925723
2983,0,42395.79977,60088.978703,60088.978703,42395.79977,59883.416641
2405,0,17743.252658,20139.074787,20139.074787,17946.516124,20482.663801
2820,0,19734.16711,21456.047258,21456.047258,19734.16711,21761.532133
3664,0,19053.709262,23889.605797,23889.605797,19053.709262,24266.809661
1946,0,9511.127053,15006.034724,15006.034724,9562.182385,15615.24533
2341,0,12509.695188,15893.100423,15893.100423,12509.695188,16157.978898
3015,0,12374.552136,18215.121664,18215.121664,12374.552136,18215.121664
2325,0,51466.277222,78438.202395,78438.202395,53973.265648,82932.763863
2711,0,52307.369285,86543.420266,86543.420266,52604.788006,86017.974656
3494,0,64537.079213,89258.168453,89258.168453,64537.079213,95856.972213
2010,0,14535.193756,17166.195525,17166.195525,14535.193756,17157.943946
2315,0,13463.60758,18152.272015,18152.272015,13542.16696,18152.272015
3127,0,13482.572845,19329.49985,19329.49985,13482.572845,20222.418088
1966,0,33911.831815,43913.986272,43913.986272,33911.831815,43913.986272
2365,0,37304.973482,44525.094969,44525.094969,37304.973482,45100.154755
2970,0,41866.473148,48502.882145,48502.882145,41866.473148,50659.309488
2026,0,13325.822038,14535.066577,14535.066577,13325.822038,14717.6737
2439,0,10808.014671,15395.584567,15395.584567,10808.014671,15427.09668
3126,0,12696.987561,16663.869894,16663.869894,12696.987561,17236.936214
2014,0,61864.934127,70551.95312,70551.95312,61864.934127,72968.015925
2381,0,45569.537624,65754.210317,65754.210317,45640.607585,77513.85858
3153,0,65782.770681,79724.462652,79724.462652,67515.717981,84446.582218
2025,0,14587.485249,17286.864166,17286.864166,14587.485249,17888.788103
2296,0,17080.697657,18085.837981,18085.837981,17150.869876,18404.78436
3165,0,18877.675796,21690.888365,21690.888365,18877.675796,22043.458725
2123,0,15716.376533,19106.922342,19106.922342,15809.267891,19643.432305
2453,0,14854.499787,19200.120495,19200.120495,14854.499787,21069.751975
3324,0,14935.505951,21988.235736,21988.235736,15021.467628,22862.458432
