vertices,IteratedGlobal,IteratedLocal,SAGlobal,SALocal
3681,1.5296079983,1.5296079983,1.0067907331,1.5870591668
4356,1.4087490973,1.4087490973,1,1.3971354885
5978,1.0929236917,1.0929236917,1,1.1167705119
2645,1.4455580916,1.4455580916,1.0007125718,1.4563492158
3026,1.4345371319,1.4345371319,1,1.4389531229
4170,1.9502050018,1.9502050018,1,1.9365703264
2948,1.177692614,1.177692614,1,1.2482733199
3342,1.0668478171,1.0668478171,1,1.1013691766
4480,1.1506933233,1.1506933233,1,1.1489682478
4153,1.60394735,1.60394735,1,1.60394735
4787,1.619120111,1.619120111,1.0088275489,1.602907762
6665,1.1852497596,1.1852497596,1,1.2196714788
3462,1.566765694,1.566765694,1,1.6353122778
4132,1.1270715029,1.1270715029,1,1.1582058653
5850,1.0482813711,1.0482813711,1,1.0820064469
2950,1.18326471,1.18326471,1,1.2047142297
3379,1.2656856081,1.2656856081,1,1.2905655138
4489,1.3598431559,1.3598431559,1,1.3943299941
3764,1.2732960806,1.2732960806,1,1.2732960806
4418,1.3022967423,1.3022967423,1.0202588143,1.2861677789
5621,1.3231791232,1.3231791232,1.0094093024,1.3317464649
3129,1.3282530047,1.3282530047,1,1.3410499833
3685,1.4493276157,1.4493276157,1,1.4493276157
5190,1.4714538806,1.4714538806,1,1.5579957269
2908,1.4848143984,1.4848143984,1.021120678,1.4931698921
3453,1.3669376982,1.3669376982,1,1.3651949657
4831,1.2037118516,1.2037118516,1,1.2068062476
3209,1.0918363211,1.0918363211,1,1.0948862103
3729,1.0946085603,1.0946085603,1,1.0883409162
5093,1.0858568199,1.0858568199,1,1.0780328408
3681,1.5296079983,1.5296079983,1.0067907331,1.5870591668
4356,1.4087490973,1.4087490973,1,1.3971354885
5978,1.0929236917,1.0929236917,1,1.1167705119
2645,1.4455580916,1.4455580916,1.0007125718,1.4563492158
3026,1.4345371319,1.4345371319,1,1.4389531229
4170,1.9502050018,1.9502050018,1,1.9365703264
2948,1.177692614,1.177692614,1,1.2482733199
3342,1.0668478171,1.0668478171,1,1.1013691766
4480,1.1506933233,1.1506933233,1,1.1489682478
4153,1.60394735,1.60394735,1,1.60394735
4787,1.619120111,1.619120111,1.0088275489,1.602907762
6665,1.1852497596,1.1852497596,1,1.2196714788
3462,1.566765694,1.566765694,1,1.6353122778
4132,1.1270715029,1.1270715029,1,1.1582058653
5850,1.0482813711,1.0482813711,1,1.0820064469
1828,1.3990469769,1.3990469769,1,1.4389102419
2126,1.6125919445,1.6125919445,1,1.653083673
2983,1.3127496693,1.3127496693,1.0009782849,1.3504776057
2405,1.2311225308,1.2311225308,1,1.2311225308
2820,1.06827607,1.06827607,1,1.1130486536
3664,1.2055518962,1.2055518962,1.0006046275,1.2569581756
1946,1.5329090753,1.5329090753,1,1.5336464653
2341,1.2264360664,1.2264360664,1,1.2284481849
3015,1.4324996193,1.4324996193,1,1.4505627248
2325,1.5706418564,1.5706418564,1,1.587758092
2711,1.5378966637,1.5378966637,1,1.600509166
3494,1.3986385245,1.3986385245,1,1.4062215227
2010,1.1547810762,1.1547810762,1.0050455515,1.1574508809
2315,1.2607173476,1.2607173476,1,1.276654209
3127,1.3400634226,1.3400634226,1,1.3420395316
1966,1.2309025621,1.2309025621,1,1.2280157906
2365,1.1886237182,1.1886237182,1.0118281739,1.1886237182
2970,1.1726337102,1.1726337102,1.0027666208,1.1726337102
2026,1.1171721962,1.1171721962,1.0054070195,1.1171721962
2439,1.2866479381,1.2866479381,1,1.2903106946
3126,1.3499126116,1.3499126116,1,1.3424518234
2014,1.231137473,1.231137473,1,1.2388207127
2381,1.4546357952,1.4546357952,1,1.4918689413
3153,1.2621976103,1.2621976103,1.0006953316,1.331244671
2025,1.2415887382,1.2415887382,1,1.2516670885
2296,1.0444888418,1.0444888418,1,1.0867925545
3165,1.1274507843,1.1274507843,1,1.1274507843
2123,1.2554436861,1.2554436861,1,1.293657833
2453,1.3433575187,1.3433575187,1.0112822702,1.4030674371
3324,1.384488141,1.384488141,1.0246733237,1.3892424795
