maxK,random-2-opt-50-1337(183),ic_die20-darkness-50-int-42(183),ic_die22-edges-50-int-42(183),skyline_new_york-edges-50-float-42(183),ic_die21-color-50-int-42(183)
30,35140.029986,15828.173816,9888.922789,43415.855147,12624.410893
35,40048.003985,18052.174108,11098.210279,49813.145921,14203.289367
40,45004.553082,20483.20406,12261.657435,55694.282822,15824.561663
45,49829.471354,22671.941577,13380.004026,61854.210919,17360.316365
50,54611.356042,24703.991282,14472.845928,67751.321712,18889.633555
55,59191.372991,26555.19941,15565.521958,73446.960256,20376.320275
