maxK,random-2-opt-50-1337(121),ic_die20-darkness-50-int-42(122),ic_die22-edges-50-int-42(122),skyline_new_york-edges-50-float-42(122),ic_die21-color-50-int-42(122)
30,35009.681581,13377.175111,10302.885015,49386.529888,12401.199628
35,39504.399409,15374.753544,11712.408238,55456.081452,14411.318581
40,43917.658131,17057.396124,13120.17675,60531.626564,16196.387726
45,47779.319615,18667.930393,14510.058519,65807.401322,17914.102152
50,51416.782662,20162.111635,15872.331542,70624.696638,19536.155337
55,54845.356838,21594.043425,17084.571793,75125.723071,21083.595076
