maxK,random-2-opt-60-1337(177),von_koch-random-55-3(153),von_koch-random-55-4(154),von_koch-random-60-2(177),von_koch-random-60-5(177)
5,0.898947263,1.457528245,0.898125864,1.183490872,1.298737984
10,0.688723954,7.075968163,0.81454998,1.964166718,2.309908472
15,4.5217801,2.726866839,0.994765435,2.502404589,2.76902255
20,1.885378362,2.667824223,1.459396392,2.802721044,4.294984557
25,2.2632174,1.455261074,1.732878597,2.331165673,2.550879346
30,2.597888262,2.172873194,1.464662728,1.92048034,4.297142187
