maxK,random-2-opt-60-1337(264),von_koch-random-55-3(230),von_koch-random-55-4(231),von_koch-random-60-2(264),von_koch-random-60-5(265)
5,8.05342023,5.068247,3.94086599,4.524356888,7.096374419
10,10.379826186,4.301811141,6.86234192,4.664149618,9.622744764
15,6.269644574,3.94384569,4.683127603,9.845855878,8.10450884
20,7.113654195,8.605401007,3.608192031,4.510226754,9.052602473
25,8.392877541,5.337701497,4.059175611,6.498063,9.946410884
30,7.591622403,5.29859664,3.970823957,5.096488174,9.715012218
